Date,Home Team,Away Team,Home Score,Away Score,Overtime?,Playoff Game?,Neutral Venue?,Home Odds Open,Home Odds Min,Home Odds Max,Home Odds Close,Away Odds Open,Away Odds Min,Away Odds Max,Away Odds Close,Home Line Open,Home Line Min,Home Line Max,Home Line Close,Away Line Open,Away Line Min,Away Line Max,Away Line Close,Home Line Odds Open,Home Line Odds Min,Home Line Odds Max,Home Line Odds Close,Away Line Odds Open,Away Line Odds Min,Away Line Odds Max,Away Line Odds Close,Total Score Open,Total Score Min,Total Score Max,Total Score Close,Total Score Over Open,Total Score Over Min,Total Score Over Max,Total Score Over Close,Total Score Under Open,Total Score Under Min,Total Score Under Max,Total Score Under Close,Notes
2021-11-29,Washington Football Team,Seattle Seahawks,17,15,,,,2.15,1.80,2.15,2.10,1.74,1.74,2.05,1.76,2.5,-1.5,2.5,1.5,-2.5,-2.5,1.5,-1.5,1.90,1.90,1.90,1.95,1.90,1.90,1.90,1.86,46.5,46.5,47.5,46.5,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,
2021-11-28,Baltimore Ravens,Cleveland Browns,16,10,,,,1.47,1.47,1.64,1.64,2.75,2.35,2.75,2.35,-4.5,-4.5,-3.0,-3.0,4.5,3.0,4.5,3.0,1.90,1.90,1.95,1.95,1.90,1.86,1.90,1.86,46.5,45.5,47.5,47.5,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,
2021-11-28,Green Bay Packers,Los Angeles Rams,36,28,,,,1.80,1.80,2.15,2.10,2.05,1.74,2.05,1.76,-2.0,-2.0,2.5,2.0,2.0,-2.5,2.0,-2.0,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,50.0,46.0,50.0,46.5,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,
2021-11-28,San Francisco 49ers,Minnesota Vikings,34,26,,,,1.71,1.50,1.71,1.50,2.20,2.20,2.70,2.70,-2.5,-4.0,-2.5,-4.0,2.5,2.5,4.0,4.0,1.90,1.95,1.90,1.95,1.90,1.90,1.86,1.86,48.5,48.0,49.0,49.0,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,
2021-11-28,Denver Broncos,Los Angeles Chargers,28,13,,,,2.05,2.05,2.40,2.30,1.80,1.62,1.80,1.66,1.5,1.5,3.0,3.0,-1.5,-3.0,-1.5,-3.0,1.90,1.90,1.90,1.86,1.90,1.90,1.90,1.95,49.0,47.0,49.0,47.0,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,
2021-11-28,Cincinnati Bengals,Pittsburgh Steelers,41,10,,,,1.47,1.47,1.55,1.55,2.75,2.60,2.75,2.60,-4.5,-4.5,-3.5,-3.5,4.5,3.5,4.5,3.5,1.90,1.90,1.95,1.95,1.90,1.86,1.90,1.86,45.5,43.5,45.5,43.5,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,
2021-11-28,Houston Texans,New York Jets,14,21,,,,1.62,1.62,1.74,1.66,2.40,2.15,2.40,2.30,-3.0,-3.0,-2.5,-3.0,3.0,2.5,3.0,3.0,1.90,1.90,1.90,2.00,1.90,1.90,1.90,1.83,44.0,44.0,45.5,44.5,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,
2021-11-28,Indianapolis Colts,Tampa Bay Buccaneers,31,38,,,,2.20,2.20,2.55,2.30,1.71,1.57,1.71,1.66,2.5,2.5,3.5,3.0,-2.5,-3.5,-2.5,-3.0,1.90,1.90,1.90,1.83,1.90,1.90,1.90,2.00,51.0,51.0,53.5,53.0,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,
2021-11-28,Jacksonville Jaguars,Atlanta Falcons,14,21,,,,1.95,1.95,2.10,2.05,1.86,1.76,1.86,1.80,1.0,1.0,2.0,1.5,-1.0,-2.0,-1.0,-1.5,1.90,1.86,1.90,1.90,1.90,1.90,1.95,1.90,47.5,45.5,47.5,46.0,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,
2021-11-28,Miami Dolphins,Carolina Panthers,33,10,,,,1.90,1.90,2.15,2.00,1.90,1.74,1.90,1.83,-1.0,-1.0,2.5,1.0,1.0,-2.5,1.0,-1.0,2.00,2.00,1.90,1.90,1.83,1.90,1.83,1.90,42.5,41.0,42.5,41.0,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,
2021-11-28,New England Patriots,Tennessee Titans,36,13,,,,1.40,1.28,1.40,1.33,3.10,3.05,3.75,3.40,-6.0,-7.5,-5.5,-7.0,6.0,5.5,7.5,7.0,1.90,1.90,1.90,1.86,1.90,1.90,1.90,1.95,44.5,43.0,44.5,43.0,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,
2021-11-28,New York Giants,Philadelphia Eagles,13,7,,,,2.55,2.45,2.70,2.70,1.57,1.50,1.60,1.50,3.5,3.0,4.0,4.0,-3.5,-4.0,-3.0,-4.0,1.90,1.95,1.90,1.90,1.90,1.90,1.86,1.90,46.5,45.0,46.5,45.0,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,
2021-11-25,New Orleans Saints,Buffalo Bills,6,31,,,,2.80,2.70,3.40,3.40,1.45,1.33,1.50,1.33,4.5,4.0,7.0,7.0,-4.5,-7.0,-4.0,-7.0,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,46.0,45.0,46.5,45.0,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,
2021-11-25,Dallas Cowboys,Las Vegas Raiders,33,36,Y,,,1.31,1.27,1.31,1.31,3.60,3.60,3.80,3.60,-7.5,-7.5,-7.0,-7.0,7.5,7.0,7.5,7.0,2.00,1.90,1.90,1.90,1.83,1.90,1.90,1.90,50.5,50.5,51.5,51.0,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,
2021-11-25,Detroit Lions,Chicago Bears,14,16,,,,2.55,2.15,2.60,2.15,1.57,1.55,1.74,1.74,3.5,2.0,3.5,2.0,-3.5,-3.5,-2.0,-2.0,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,42.0,41.5,42.0,41.5,1.95,1.90,1.95,1.90,1.86,1.90,1.90,1.90,
2021-11-22,Tampa Bay Buccaneers,New York Giants,30,10,,,,1.16,1.16,1.19,1.18,5.50,5.00,5.50,5.25,-11.5,-11.5,-10.5,-11.5,11.5,10.5,11.5,11.5,1.95,1.90,1.90,1.95,1.86,1.90,1.90,1.86,50.5,49.5,50.5,50.0,1.95,1.90,1.95,1.90,1.86,1.90,1.90,1.90,
